step time wall-clock mass x-mom y-mom z-mom energy L2 mass-balance
   3360 5.336199e-03 1.989100e+01 1.777862e+03 4.385783e+06 5.916974e+05 0.000000e+00 8.660054e+09 2.959482e+10 2.123632e+02
   3380 5.368634e-03 1.999100e+01 1.714054e+03 3.756236e+06 5.380251e+05 0.000000e+00 8.023798e+09 2.656089e+10 2.095166e+02
   3400 5.401073e-03 2.009100e+01 1.694592e+03 3.715794e+06 5.250731e+05 0.000000e+00 7.932895e+09 2.624642e+10 2.066508e+02
   3420 5.433516e-03 2.019400e+01 1.804543e+03 4.465747e+06 5.957040e+05 0.000000e+00 8.816290e+09 2.870201e+10 2.037485e+02
   3440 5.465964e-03 2.029700e+01 1.802000e+03 4.462659e+06 5.929171e+05 0.000000e+00 8.808353e+09 2.836972e+10 2.008693e+02
   3460 5.498415e-03 2.039900e+01 1.616207e+03 3.606951e+06 4.985859e+05 0.000000e+00 7.589041e+09 2.500147e+10 1.980379e+02
   3480 5.530870e-03 2.050100e+01 1.591526e+03 3.563379e+06 5.037719e+05 0.000000e+00 7.482510e+09 2.478179e+10 1.952526e+02
   3500 5.563329e-03 2.076800e+01 1.571681e+03 3.516323e+06 5.133513e+05 0.000000e+00 7.394587e+09 2.440673e+10 1.925093e+02
   3520 5.595791e-03 2.088400e+01 1.556311e+03 3.469196e+06 5.220353e+05 0.000000e+00 7.323047e+09 2.406650e+10 1.898058e+02
   3540 5.628257e-03 2.096600e+01 1.543518e+03 3.424936e+06 5.253397e+05 0.000000e+00 7.259738e+09 2.374905e+10 1.871424e+02
   3560 5.660727e-03 2.105000e+01 1.531412e+03 3.384499e+06 5.218840e+05 0.000000e+00 7.197269e+09 2.343992e+10 1.845216e+02
   3580 5.693200e-03 2.113300e+01 1.519281e+03 3.347035e+06 5.136077e+05 0.000000e+00 7.133742e+09 2.313220e+10 1.819444e+02
   3600 5.725676e-03 2.123600e+01 1.507167e+03 3.311153e+06 5.026785e+05 0.000000e+00 7.069909e+09 2.283195e+10 1.794068e+02
   3620 5.758156e-03 2.135000e+01 1.494794e+03 3.276098e+06 4.895991e+05 0.000000e+00 7.004681e+09 2.254456e+10 1.769098e+02
   3640 5.790639e-03 2.145000e+01 1.481327e+03 3.241656e+06 4.740612e+05 0.000000e+00 6.934659e+09 2.226206e+10 1.744571e+02
   3660 5.823125e-03 2.157100e+01 1.465955e+03 3.207888e+06 4.569891e+05 0.000000e+00 6.857508e+09 2.197187e+10 1.720484e+02
